                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.71745,                0.65081,                 1.1428,                0.96461,                0.95041,                0.98555,                0.87926,                0.50017,                0.47384,                0.96546,              0.0010376,              0.0010376,              0.0010376
                     85,                0.67873,                0.63114,                 1.0917,                0.95968,                 0.9597,                0.98784,                0.88648,                0.49113,                0.47325,                0.95881,              0.0010329,              0.0010329,              0.0010329
                     86,                0.64534,                0.64113,                 1.0565,                0.95435,                0.96824,                0.98686,                0.88694,                0.50459,                0.48499,                0.96313,              0.0010282,              0.0010282,              0.0010282
                     87,                0.61533,                0.59408,                 1.0497,                0.94153,                0.97896,                0.98554,                0.88948,                0.49693,                0.48086,                0.95838,              0.0010234,              0.0010234,              0.0010234
                     88,                0.60346,                0.61616,                  1.044,                0.96071,                0.96545,                 0.9875,                0.88555,                0.48405,                0.48488,                0.95073,              0.0010187,              0.0010187,              0.0010187
                     89,                0.65095,                0.61242,                 1.0784,                0.96746,                0.96659,                0.98792,                0.87842,                0.49277,                0.47694,                0.95533,               0.001014,               0.001014,               0.001014
                     90,                0.66736,                0.63652,                 1.0886,                0.94748,                0.96388,                0.98209,                0.87906,                0.48366,                 0.4583,                0.95003,              0.0010093,              0.0010093,              0.0010093
                     91,                0.60348,                0.58715,                 1.0394,                0.94828,                0.97546,                0.98182,                0.88185,                0.48212,                0.44829,                0.94994,              0.0010046,              0.0010046,              0.0010046
                     92,                0.64103,                0.59858,                 1.0984,                0.96259,                0.96887,                0.98597,                0.88487,                0.46947,                0.44706,                0.94643,             0.00099987,             0.00099987,             0.00099987
                     93,                 0.6566,                0.63657,                 1.0395,                0.96741,                0.97846,                0.98861,                0.88121,                0.47967,                  0.441,                0.94829,             0.00099516,             0.00099516,             0.00099516
                     94,                0.57951,                0.58314,                 1.0106,                0.96908,                0.98174,                0.99167,                0.88282,                0.48472,                0.44717,                0.95085,             0.00099044,             0.00099044,             0.00099044
                     95,                0.64497,                0.64689,                 1.0722,                0.97651,                0.97654,                0.99163,                0.88281,                0.48443,                0.46664,                0.95378,             0.00098572,             0.00098572,             0.00098572
                     96,                0.65908,                 0.6289,                 1.1054,                0.95655,                0.96416,                0.98767,                0.88566,                 0.4997,                0.46067,                0.95939,             0.00098101,             0.00098101,             0.00098101
                     97,                0.63235,                0.62067,                 1.0943,                0.94426,                0.96774,                0.98714,                0.88057,                0.50544,                0.46945,                0.96288,             0.00097629,             0.00097629,             0.00097629
                     98,                0.61937,                0.59515,                 1.0585,                0.95217,                0.95911,                0.98787,                0.88459,                0.48703,                 0.4571,                 0.9573,             0.00097158,             0.00097158,             0.00097158
                     99,                0.61397,                0.61789,                  1.066,                0.98138,                 0.9526,                0.98957,                0.89082,                0.48475,                0.44679,                0.95733,             0.00096686,             0.00096686,             0.00096686
                    100,                0.60718,                0.57172,                 1.0148,                0.96288,                0.96416,                0.98666,                0.88991,                0.48047,                 0.4446,                0.94641,             0.00096215,             0.00096215,             0.00096215
                    101,                0.60702,                0.58531,                 1.0818,                0.96085,                0.96822,                0.98578,                0.89465,                0.45989,                0.43087,                0.93306,             0.00095743,             0.00095743,             0.00095743
